"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.386224097E2	5.031104048E1	7.611193713E0	9.594212176E1	1.423999977E1	3.041000061E2	1.500000000E0	1.000000000E2
1.396031326E2	5.031110988E1	7.611026829E0	9.694220026E1	1.440999985E1	2.995000000E2	1.500000000E0	1.000000000E2
1.406074956E2	5.031116692E1	7.610845780E0	9.694226934E1	1.417999935E1	2.940000000E2	1.500000000E0	1.000000000E2
1.416284814E2	5.031121893E1	7.610665234E0	9.594233394E1	1.417999935E1	2.922000122E2	1.500000000E0	1.000000000E2
1.426380904E2	5.031125866E1	7.610478904E0	9.594238832E1	1.421000004E1	2.888999939E2	1.000000000E0	1.000000000E2
1.436254700E2	5.031129885E1	7.610288635E0	9.594244352E1	1.439999962E1	2.882999878E2	1.500000000E0	1.000000000E2
1.446210791E2	5.031134105E1	7.610096438E0	9.494250070E1	1.442000008E1	2.890000000E2	1.000000000E0	1.000000000E2
1.456229042E2	5.031138430E1	7.609903067E0	9.494255893E1	1.450999928E1	2.895000000E2	1.000000000E0	1.000000000E2
1.466301652E2	5.031142684E1	7.609713804E0	9.494261611E1	1.452999973E1	2.898999939E2	1.000000000E0	1.000000000E2
1.476379755E2	5.031147173E1	7.609521691E0	9.494267566E1	1.459999943E1	2.900000000E2	1.000000000E0	1.000000000E2
1.486318406E2	5.031151875E1	7.609332008E0	9.494273685E1	1.467000008E1	2.911000061E2	1.000000000E0	1.000000000E2
1.496264207E2	5.031156808E1	7.609141152E0	9.394280019E1	1.473999977E1	2.921000061E2	1.000000000E0	1.000000000E2
1.506321256E2	5.031162009E1	7.608949710E0	9.394286597E1	1.482999992E1	2.930000000E2	1.000000000E0	1.000000000E2
1.516382627E2	5.031167440E1	7.608763715E0	9.394293322E1	1.473999977E1	2.946000061E2	1.000000000E0	1.000000000E2
1.526199387E2	5.031173115E1	7.608575877E0	9.294300281E1	1.471999931E1	2.952999878E2	1.000000000E0	1.000000000E2
1.536374112E2	5.031178974E1	7.608387703E0	9.294307407E1	1.475999928E1	2.961000061E2	1.000000000E0	1.000000000E2
1.546381898E2	5.031184786E1	7.608201625E0	9.294314471E1	1.478999996E1	2.982000122E2	1.000000000E0	1.000000000E2
1.556271107E2	5.031191207E1	7.608019989E0	9.294322025E1	1.469999981E1	3.000000000E2	1.000000000E0	1.000000000E2
1.566438495E2	5.031197787E1	7.607840616E0	9.294329697E1	1.469999981E1	3.005000000E2	1.000000000E0	1.000000000E2
1.576227774E2	5.031204325E1	7.607662920E0	9.194337315E1	1.469999981E1	3.013999939E2	1.000000000E0	1.000000000E2
1.586191087E2	5.031211483E1	7.607484302E0	9.194345491E1	1.471999931E1	3.028999939E2	1.000000000E0	1.000000000E2
1.596045596E2	5.031218314E1	7.607309371E0	9.194353341E1	1.456999969E1	3.027000122E2	1.000000000E0	1.000000000E2
1.606157934E2	5.031225472E1	7.607135950E0	9.094361464E1	1.446999931E1	3.042999878E2	1.000000000E0	1.000000000E2
